stage,RH,direction,best_model,delta_BIC_runner_up,parameters_plus_minus_SE,Avrami_n,component_weights,end_dm_dt,flags
21,20.0,sorption,HYP_SE,0.2729054968460787,M_eq1=1.1781 ± 0.14; k1=0.16224 ± 0.033; M_eq2=0.31556 ± 0.14; k2=0.031164 ± 0.0052; n=1.0703 ± 0.27,1.070302370289559,w1=0.789; w2=0.211,0.0006,poorly_identifiable
22,30.0,sorption,SE2,91.51888406662397,M_eq1=0.059265 ± 0.0094; k1=0.54138 ± 0.024; n1=3.7487 ± 1.5; M_eq2=1.5305 ± 0.012; k2=0.041507 ± 0.00031; n2=0.62547 ± 0.0057,n1=3.749; n2=0.6255,w1=0.037; w2=0.963,0.0016,poorly_identifiable
23,40.0,sorption,HYP_SE,40.67002095435123,M_eq1=1.3496 ± 0.022; k1=0.14283 ± 0.0058; M_eq2=1.0756 ± 0.019; k2=0.032858 ± 0.00014; n=1.7105 ± 0.02,1.7105484095185215,w1=0.556; w2=0.444,0.002,components_not_interpretable
24,50.0,sorption,SE2,25.778394762643757,M_eq1=2.3635 ± 0.73; k1=0.22601 ± 0.0065; n1=1.5933 ± 0.16; M_eq2=0.92167 ± 0.74; k2=0.083545 ± 0.047; n2=1.2622 ± 0.57,n1=1.593; n2=1.262,w1=0.719; w2=0.281,0.0012,components_not_interpretable; parameter_undetermined
25,60.0,sorption,SE2,73.26170902661295,M_eq1=2.9474 ± 1.1; k1=0.26814 ± 0.014; n1=1.6966 ± 0.23; M_eq2=1.9417 ± 1.1; k2=0.091334 ± 0.036; n2=1.3088 ± 0.44,n1=1.697; n2=1.309,w1=0.603; w2=0.397,-0.0007,components_not_interpretable; parameter_undetermined
26,70.0,sorption,SE2,311.0884069443654,M_eq1=3.8898 ± 0.67; k1=0.22301 ± 0.0032; n1=1.2838 ± 0.068; M_eq2=3.451 ± 0.67; k2=0.076969 ± 0.012; n2=1.0167 ± 0.091,n1=1.284; n2=1.017,w1=0.530; w2=0.470,0.0016,components_not_interpretable
27,80.0,sorption,SE2,380.91513202096894,M_eq1=5.8579 ± 0.74; k1=0.11947 ± 0.0016; n1=1.876 ± 0.12; M_eq2=6.5003 ± 0.74; k2=0.043008 ± 0.0037; n2=1.2477 ± 0.088,n1=1.876; n2=1.248,w1=0.474; w2=0.526,-0.0013,components_not_interpretable
28,90.0,sorption,SE2,322.36016557668427,M_eq1=20.786 ± 5.7; k1=0.039177 ± 0.0021; n1=1.1747 ± 0.066; M_eq2=9.6878 ± 5.7; k2=0.012448 ± 0.0056; n2=1.0697 ± 0.29,n1=1.175; n2=1.07,w1=0.682; w2=0.318,0.0075,truncated; selection_provisional; components_not_interpretable; parameter_undetermined
29,80.0,desorption,HYP_SE,192.58672450904123,M_eq1=-2.7238 ± 0.47; k1=0.008662 ± 0.00069; M_eq2=-27.46 ± 0.48; k2=0.046918 ± 0.00012; n=1.4358 ± 0.014,1.4357560847219275,w1=0.090; w2=0.910,0.0008,components_not_interpretable
30,70.0,desorption,SE2,73.52255760513435,M_eq1=-8.8855 ± 2; k1=0.11403 ± 0.0022; n1=1.6373 ± 0.14; M_eq2=-3.4561 ± 2; k2=0.044505 ± 0.019; n2=1.2227 ± 0.37,n1=1.637; n2=1.223,w1=0.720; w2=0.280,-0.0014,components_not_interpretable; parameter_undetermined
